round,num_users,frac,local_ep,local_bs,bs,lr,momentum,warmup_epoch,model,ks,in_ch,dataset,nclass,nsample_pc,noniid,pruning_percent,pruning_target,dist_thresh_fc,acc_thresh,seed,algorithm,avg_final_tacc,personalized_parameters_percentage,corr_label_network_similarity
12,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,43.25,"[0.0, 0.0, 0.0, 0.0, 0.0]",nan,2022-07-24
0,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,50.0625,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
2,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,60.0625,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
4,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,58.125,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
6,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,49.9375,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
8,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,59.65625,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
10,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,28.8125,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
12,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,37.34375,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
14,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,36.90625,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
16,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,39.9375,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
18,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,68.8125,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
20,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,60.1875,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
22,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,62.75,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
24,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,61.21875,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
26,2,1.0,5,10,128,0.01,0.5,0,lenet5,5,3,cifar10,2,20,True,10.0,70,0.0001,50,1,fedspa,39.25,"[0.0, 0.0, 0.757560441411844, 0.5361820914751986, 0.0]",nan,2022-07-24
